row__restname,row__la,row__lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신덕2리경로당,36.90512,127.212971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유2리경로당,36.921643,127.219109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반도유보라4차 경로당,37.643104,126.6300982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반도유보라5차 경로당,37.6473115,126.626656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월계흥화브라운빌경로당,37.6318982,127.0437902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은하마을효성쌍용경로당,37.505579,126.767837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은하주공1차경로당,37.50763,126.763234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한라주공1차경로당,37.509938,126.76081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한라주공2차경로당,37.509938,126.76081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LH호수마을 5단지 경로당,37.6484541,126.632687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한강신도시3차 푸르지오 아파트 경로당,37.6410066,126.6230151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양평시각장애인 경로당,37.4837,127.5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK View아파트 경로당,37.495,127.4866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코아루리버팰리스아파트 경로당,37.4938,127.4873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양근5리 현대아파트 경로당,37.4941,127.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금광아파트 경로당,37.4921,127.4954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벽산블루밍1단지 경로당,37.4946,127.5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벽산블루밍2단지 경로당,37.4963,127.5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한아름2차경로당,37.495695,126.752473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한아름동원경로당,37.495491,126.754422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은하마을대우동부경로당,37.505956,126.765117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하웅경로당,36.2577317,128.0207336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선화마을 경로당,36.1323992,127.8657576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용두1리경로당,36.756832,127.316204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
