위치명 ,위도,경도
도곡중학교,36.9892911,126.8487602
원정초등학교,36.99404676,126.8416556
포승중학교,36.98198655,126.8817827
홍원초등학교,37.01437889,126.8895128
갈곶초등학교,37.12562952,127.0720328
진위고등학교,37.10991291,127.0694303
진위초등학교,37.100698,127.0899226
서탄초등학교,37.10738672,127.0361405
오성초등학교,37.00824338,126.978683
가사초등학교,36.93849396,126.9171832
현덕초등학교,36.96525594,126.9219424
반지초등학교,37.05792114,127.0695313
송탄고등학교,37.0564107,127.0699347
이충고등학교,37.05745883,127.0648673
장당중학교,37.05165322,127.063185
효명중학교,37.05013984,127.0550807
복창초등학교,37.07122347,127.0503055
학사초등학교,35.23143351,129.0080653
라온중학교,37.06940589,127.066951
송탄초등학교,37.04224527,127.087033
지산초등학교,37.07730557,127.0620098
송북초등학교,37.0807236,127.0664976
평일초등학교,36.989356,127.1070722
합정초등학교,36.98939046,127.0977399
회덕초등학교,36.374651912,127.42183959
대전종합사회복지관,36.35974067,127.45111968
송촌중학교,36.36400405,127.44343408
대덕구청소년수련관,36.364279841,127.4343031
대전용전중학교,36.356587689,127.4252883
중원초등학교,36.365812852,127.42802723
신탄제일노인회관,36.449020101,127.43277612
신탄진평생학습도서관,36.44653565,127.43733085
신탄제일장로교회,36.44837777,127.43085383
이현동마을회관,36.411712646,127.4633413
용정초등학교,36.454224157,127.4360311
등마루경로당,36.451560264,127.42505773
신탄진초등학교,36.448984805,127.42250493
영춘경로당,36.439120629,127.42607841
새일초등학교,36.431790269,127.4195376
대덕국민체육센터,36.44557451,127.41359427
대덕문화체육관,36.445416164,127.415366
목상장로교회,36.447901966,127.4157985
중리초등학교,36.367719198,127.42716853
법동종합사회복지관,36.370948552,127.43130474
대전법동초등학교,36.369579635,127.43206383
신광명어린이공원,37.54692,126.823013
덕원중학교운동장,37.548623,126.829024
발산초등학교운동장,37.550262,126.830994
청송초등학교,36.449695883,126.78812498
청남초등학교,36.355398787,126.9517232
청남중학교,36.355001921,126.95087227
정산초등학교,36.415923062,126.9463874
정산중학교,36.411963,126.957066
정산고등학교,36.413852022,126.9502064
장평초등학교,36.346051679,126.89950555
장평중학교,36.348418678,126.90227863
운곡초등학교,36.52488756,126.84628826
수정초등학교,36.445452173,126.8278224
미당초등학교,36.375450206,126.93339008
목면초등학교,36.42152949,127.00419708
동영중학교,36.400909285,126.76634129
남양초등학교,36.401340516,126.77695704
가남초등학교,36.516581261,126.78888951
석산경로당,36.354164769,127.41304359
중앙경로당,36.351677077,127.4142158
화정초등학교,36.357358832,127.41191068
대전원명학교,36.365899067,127.41274458
대화초등학교,36.362692114,127.4113339
장동주민문화센터,36.41286198,127.44100877
와동초등학교,36.39720424,127.42229138
회덕중학교,36.401161018,127.42580421
용수초등학교,35.22913859,129.0090763
포천초등학교,35.19664218,129.0091011
화명고등학교,35.23955166,129.01069069
화명중학교,35.226097461,129.0113911
화명초등학교,35.24227196,129.0180737
화신중학교,35.23854608,129.01496732
화잠초등학교,35.23595457,129.0173328
화정초등학교,35.218206119,129.00991806
그린꽃님공원,35.240428843,129.02353769
사랑공원,35.2542079,129.0122219
미래공원,35.257337663,129.01403719
