위치명,위도,경도
군자초등학교운동장,37.56412232,127.0605233
안평초등학교운동장,37.56596821,127.0720334
장평중학교운동장,37.56685961,127.0704776
장평공원,37.56748813,127.0737398
안골어린이공원,37.56526436,127.0643819
장일어린이공원,,
장평초등학교운동장,37.57399502,127.073891
은석초등학교운동장,37.57855999,127.0757616
동국대학교운동장사범대학부속고등학교운동장,37.578047182,127.07513302
늘봄어린이공원,37.5713224,127.0725893
홍릉초등학교운동장,37.59068752,127.0477051
청량중학교운동장,37.58821921,127.0506225
청량고등학교운동장,37.588886,127.051311
경희초등학교운동장,37.59374439,127.0532231
삼육초등학교운동장,37.5887715,127.0471713
청량초등학교운동장,37.5923094,127.0559085
인덕원초등학교,37.39728516,126.979753
경희여자고등학교운동장,37.59374439,127.0532231
보림어린이공원,37.59222758,127.0611988
휘경초등학교운동장,37.58575014,127.0582142
휘봉초등학교운동장,37.58567641,127.0700416
전동중학교운동장,37.58619359,127.0709291
대광고등학교운동장,37.57795467,127.0253235
우산각어린이공원,37.57385655,127.0241852
용두희망어린이공원,,
종암초등학교운동장,37.58230741,127.0318564
홍파초등학교운동장,37.58620315,127.0395199
성일중학교운동장,37.58185023,127.0338504
정화여자상업고등학교운동장,37.58604864,127.0410703
방아다리어린이공원,,
동대문중학교운동장,37.57452207,127.0519943
전농초등학교운동장,37.57473031,127.0543331
배봉초등학교운동장,37.58008416,127.0668719
전곡초등학교운동장,37.58070429,127.0560124
전동초등학교운동장,37.57908329,127.0608053
전농중학교운동장,37.58204428,127.0592794
전일중학교운동장,37.58250018,127.0583795
해성여자고등학교운동장,37.5818726,127.0569769
아름드리어린이공원,,
배봉산공원야외무대,37.57844311,127.0627351
답십리초등학교운동장,37.56880432,127.055427
신답초등학교운동장,37.572704609,127.04296169
숭인중학교운동장,37.57392046,127.0440578
간데메공원,37.57278098,127.0490643
평촌경영고등학교,37.4010713,126.9590296
해오름초등학교,37.410745757,126.96919325
귀인중학교,37.38402899,126.9633884
귀인초등학교,37.38674363,126.965939
나눔초등학교,37.39057716,126.9755401
동안고등학교,37.39035498,126.9661439
동안초등학교,37.38950873,126.9649079
민백초등학교,37.38651768,126.9700223
백영고등학교,37.38645863,126.9649795
벌말초등학교,37.39383624,126.9808968
대안중학교,37.37798206,126.9658798
덕현초등학교,37.37549417,126.962399
범계중학교,37.38471819,126.955397
범계초등학교,37.38751799,126.9537794
신기중학교,37.37907906,126.9588293
신기초등학교,37.38164452,126.9569671
안양남초등학교,37.37987495,126.9685707
평촌고등학교,37.38653804,126.954713
평촌공업고등학교,37.37443476,126.9630047
호계중학교,37.37834835,126.9517346
호계초등학교,37.38426921,126.9501229
호성초등학교,37.36623613,126.9630267
호원초등학교,37.3750584,126.9531909
용두초등학교운동장,37.57641309,127.0283872
논현초등학교,37.40517927,126.7305538
장도초등학교,37.4078964,126.7336071
논곡초등학교,37.41056177,126.7099544
동방초등학교,37.40315332,126.719547
남동문화원(소래아트홀),37.38746222,126.7245965
고잔감리교회,37.391206515,126.71505677
명파교회 고지대,38.538448584,128.40153637
현내면공설운동장 고지대,38.500797,
대진감리교회 고지대,38.495403099,128.426748
대진초등학교 고지대,38.49696274,128.42357492
초도항뒷산 고지대,38.488495116,128.430651
대진중고등학교 고지대,38.485484992,128.43340138
화진포정보화마을 고지대,38.483667,128.436931
이승만별장 고지대,38.470993713,128.43627432
거진중학교 고지대,38.447145558,128.44810526
거진정보공업고등학교 고지대,38.439681791,128.45014813
거성초등학교 고지대,38.452581078,128.45716057
거진성황당 고지대,38.451177914,128.46118845
반암초소 고지대,38.424399962,128.461126
반암리뒷산 고지대,38.423319,128.459125
동호리뒷산 고지대,38.391802,128.476095
가진교회 고지대,38.372545707,128.507909
가진항뒷산 고지대,38.368111,128.510808
공현진초등학교 고지대,38.354574685,128.50763009
공현진교회 고지대,38.355317,128.509234
장도초등학교  운동장,37.4078964,126.733648
논현포대근린공원,37.40805804,126.7080259
논곡초등학교 운동장,37.41056177,126.7099544
동방초등학교 운동장,37.40317001,126.719547
만월초등학교,37.44180806,126.7155201
간석초등학교,37.45925865,126.7154449
석천초등학교,37.45598076,126.70878154
정각초등학교,37.45603982,126.7152673
바람어린이공원,37.39318223,126.7231934
구월서초등학교,37.45302682,126.6950348
상아초등학교,37.45747716,126.7120157
만수북초등학교,37.46012658,126.728969
동부초등학교,37.46304622,126.7275613
만수북중학교,37.46189016,126.7391129
만수중학교,37.454801,126.7374784
인수초등학교,37.45409736,126.7354826
조동초등학교,37.46071382,126.7397543
남동중학교,37.44026749,126.7382071
남동초등학교,37.44479884,126.7370613
만월중학교,37.42646886,126.7521832
서창중학교,37.43371883,126.7498091
서창초등학교,37.43592507,126.7500729
남촌초등학교,37.42976487,126.7131794
도림초등학교,37.4190289,126.7320001
만수북중학교 운동장,37.46189016,126.7391129
만수여자중학교 운동장,37.45920443,126.733941
만수중학교 운동장,37.454801,126.7374784
