무더위쉼터,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성남동(여))경로당,36.3439249,127.4345532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스마트뷰(아)경로당,36.3428274,127.4332094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우향(여)경로당,36.3446444,127.4325684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원동마을회관,35.6006274,128.5246152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운봉2구마을회관,35.6176692,128.5114698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운봉1구마을회관,35.6151807,128.5082677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연화마을회관,35.6308331,128.5203668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연당마을회관,35.6354383,128.5237949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후천마을회관,35.6349543,128.4877216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대산마을회관,35.6389321,128.5153797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대합면사무소,35.6137162,128.4721436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모지경로당,35.588049,128.4639172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
합산경로당,35.5985742,128.4594195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도개경로당,35.5923023,128.4480763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수성경로당,35.6852256,126.8065811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신죽경로당,35.6839212,126.7669165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하청경로당,35.6913763,126.8072585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거룡1마을경로당,35.6999905,126.8043658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산전경로당,35.7014863,126.8058357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기원경로당,35.6991475,126.8043379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
큰솔@경로당,36.3416599,127.4338707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백산면사무소,35.7040265,126.7867222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회포경로당,35.7203805,126.8077563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발화 경로당,36.821438,128.004459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사시 경로당,36.822195,128.012787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대사 경로당,36.840424,128.023307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미륵 경로당,36.823459,128.090212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
